index,address,Description,Value_shown
0,F010 0000,"Module 0, Channel 0 (0,0): Module Type (read only).",-268435422
1,F010 0004,"0,0: Channel Type",1342177401
2,F010 0008,"0,0: Channel Feature (unsigned integer)",
3,F010 000C,"0,0: Analog channel offset.",
4,F010 0010,"0,0: Analog channel gain.",
5,F010 0014,"0,0: Analog channel high scale (Engineering Units)",
6,F010 0018,"0,0: Analog channel low scale (EU)",
7,F010 001C,Resurved,
8,F010 0020,"0,0: Average filter weight",
9,F010 0024,"0,0: Watchdog value. EU float for analog and digital",
10,F010 0028,"0,0: Enable watchdog. 0 = disable; non-0 = enable",
11,F010 002C,REsurved,51447780
12,F010 0030,"0,0: Channel name (50 characters plus a zero byte maximum)",
13,F010 0034,REsurved,
14,F010 0038,unlisted,
15,F010 003C,unlisted,
16,F010 0040,unlisted,
17,F010 0044,unlisted,
18,F010 0048,unlisted,
19,F010 004C,unlisted,
20,F010 0050,unlisted,
21,F010 0054,unlisted,
22,F010 0058,unlisted,
23,F010 005C,unlisted,
24,F010 0060,unlisted,
25,F010 0064,"0,0: Steinhart-Hart Coefficient A",
26,F010 0068,"0,0: Steinhart-Hart Coefficient B",
27,F010 006C,"0,0: Steinhart-Hart Second Order Coefficient (use 0.0 if not specified)",
28,F010 0070,"0,0: Steinhart-Hart Coefficient C",
29,F010 0074,"0,0: Configuration bitmask. Bit 0 is the only recognized bit.",
30,F010 0078,"0,0: Channel Units null terminated string.",
31,F010 007C,unlisted,
32,F010 0080,unlisted,
33,F010 0084,unlisted,
34,F010 0088,"0,0: SMA (simple moving average) f",
35,F010 008C,REsurved,
36,F010 0090,unlisted,
37,F010 0094,unlisted,
38,F010 0098,unlisted,
39,F010 009C,unlisted,
40,F010 00A0,unlisted,
41,F010 00A4,unlisted,
42,F010 00A8,unlisted,
43,F010 00AC,unlisted,
44,F010 00B0,unlisted,
45,F010 00B4,unlisted,
46,F010 00B8,"0,0: Analog channel lower clamp",
47,F010 00BC,"0,0: Analog channel upper clamp",
48,F010 00C0,Bus Select,-268435422
49,F010 00C4,unlisted,1342177401
50,F010 00C8,unlisted,
51,F010 00CC,unlisted,
52,F010 00D0,unlisted,
53,F010 00D4,unlisted,
54,F010 00D8,unlisted,
55,F010 00DC,unlisted,
56,F010 00E0,unlisted,
57,F010 00E4,unlisted,
58,F010 00E8,unlisted,
59,F010 00EC,unlisted,51447780
60,F010 00F0,unlisted,
61,F010 00F4,unlisted,
62,F010 00F8,unlisted,
63,F010 00FC,unlisted,
64,F010 0100,unlisted,
65,F010 0104,unlisted,
66,F010 0108,unlisted,
67,F010 010C,unlisted,
68,F010 0110,unlisted,
69,F010 0114,unlisted,
70,F010 0118,unlisted,
71,F010 011C,unlisted,
72,F010 0120,unlisted,
73,F010 0124,unlisted,
74,F010 0128,unlisted,
75,F010 012C,unlisted,
76,F010 0130,unlisted,
77,F010 0134,unlisted,
78,F010 0138,unlisted,
79,F010 013C,unlisted,
80,F010 0140,unlisted,
81,F010 0144,unlisted,
82,F010 0148,unlisted,
83,F010 014C,unlisted,
84,F010 0150,unlisted,
85,F010 0154,unlisted,
86,F010 0158,unlisted,
87,F010 015C,unlisted,
88,F010 0160,unlisted,
89,F010 0164,unlisted,
90,F010 0168,unlisted,
91,F010 016C,unlisted,
92,F010 0170,unlisted,
93,F010 0174,unlisted,
94,F010 0178,unlisted,
95,F010 017C,unlisted,
96,F010 0180,Chanel config,-268435422
97,F010 0184,unlisted,1409286266
98,F010 0188,unlisted,
99,F010 018C,unlisted,
100,F010 0190,unlisted,
101,F010 0194,unlisted,
102,F010 0198,unlisted,
103,F010 019C,unlisted,
104,F010 01A0,unlisted,
105,F010 01A4,unlisted,
106,F010 01A8,unlisted,
107,F010 01AC,unlisted,51447780
108,F010 01B0,unlisted,
109,F010 01B4,unlisted,
110,F010 01B8,unlisted,
111,F010 01BC,unlisted,
112,F010 01C0,unlisted,
113,F010 01C4,unlisted,
114,F010 01C8,unlisted,
115,F010 01CC,unlisted,
116,F010 01D0,unlisted,
117,F010 01D4,unlisted,
118,F010 01D8,unlisted,
119,F010 01DC,unlisted,
120,F010 01E0,unlisted,
121,F010 01E4,unlisted,
122,F010 01E8,unlisted,
123,F010 01EC,unlisted,
124,F010 01F0,unlisted,
125,F010 01F4,unlisted,
126,F010 01F8,unlisted,
127,F010 01FC,unlisted,
128,F010 0200,unlisted,
129,F010 0204,unlisted,
130,F010 0208,unlisted,
131,F010 020C,unlisted,
132,F010 0210,unlisted,
133,F010 0214,unlisted,
134,F010 0218,unlisted,
135,F010 021C,unlisted,
136,F010 0220,unlisted,
137,F010 0224,unlisted,
138,F010 0228,unlisted,
139,F010 022C,unlisted,
140,F010 0230,unlisted,
141,F010 0234,unlisted,
142,F010 0238,unlisted,
143,F010 023C,unlisted,
144,F010 0240,Channel Configuration,-268435422
145,F010 0244,unlisted,1409286266
146,F010 0248,unlisted,
147,F010 024C,unlisted,
148,F010 0250,unlisted,
149,F010 0254,unlisted,
150,F010 0258,unlisted,
151,F010 025C,unlisted,
152,F010 0260,unlisted,
153,F010 0264,unlisted,
154,F010 0268,unlisted,
155,F010 026C,unlisted,51447780
156,F010 0270,unlisted,
157,F010 0274,unlisted,
158,F010 0278,unlisted,
159,F010 027C,unlisted,
160,F010 0280,unlisted,
161,F010 0284,unlisted,
162,F010 0288,unlisted,
163,F010 028C,unlisted,
164,F010 0290,unlisted,
165,F010 0294,unlisted,
166,F010 0298,unlisted,
167,F010 029C,unlisted,
168,F010 02A0,unlisted,
169,F010 02A4,unlisted,
170,F010 02A8,unlisted,
171,F010 02AC,unlisted,
172,F010 02B0,unlisted,
173,F010 02B4,unlisted,
174,F010 02B8,unlisted,
175,F010 02BC,unlisted,
176,F010 02C0,unlisted,
177,F010 02C4,unlisted,
178,F010 02C8,unlisted,
179,F010 02CC,unlisted,
180,F010 02D0,unlisted,
181,F010 02D4,unlisted,
182,F010 02D8,unlisted,
183,F010 02DC,unlisted,
184,F010 02E0,unlisted,
185,F010 02E4,unlisted,
186,F010 02E8,unlisted,
187,F010 02EC,unlisted,
188,F010 02F0,unlisted,
189,F010 02F4,unlisted,
190,F010 02F8,unlisted,
191,F010 02FC,unlisted,
192,F010 0300,unlisted,-268435422
193,F010 0304,unlisted,1409286266
194,F010 0308,unlisted,
195,F010 030C,unlisted,
196,F010 0310,unlisted,
197,F010 0314,unlisted,
198,F010 0318,unlisted,
199,F010 031C,unlisted,
200,F010 0320,unlisted,
201,F010 0324,unlisted,
202,F010 0328,unlisted,
203,F010 032C,unlisted,51447780
204,F010 0330,unlisted,
205,F010 0334,unlisted,
206,F010 0338,unlisted,
207,F010 033C,unlisted,
208,F010 0340,unlisted,
209,F010 0344,unlisted,
210,F010 0348,unlisted,
211,F010 034C,unlisted,
212,F010 0350,unlisted,
213,F010 0354,unlisted,
214,F010 0358,unlisted,
215,F010 035C,unlisted,
216,F010 0360,unlisted,
217,F010 0364,unlisted,
218,F010 0368,unlisted,
219,F010 036C,unlisted,
220,F010 0370,unlisted,
221,F010 0374,unlisted,
222,F010 0378,unlisted,
223,F010 037C,unlisted,
224,F010 0380,unlisted,
225,F010 0384,unlisted,
226,F010 0388,unlisted,
227,F010 038C,unlisted,
228,F010 0390,unlisted,
229,F010 0394,unlisted,
230,F010 0398,unlisted,
231,F010 039C,unlisted,
232,F010 03A0,unlisted,
233,F010 03A4,unlisted,
234,F010 03A8,unlisted,
235,F010 03AC,unlisted,
236,F010 03B0,unlisted,
237,F010 03B4,unlisted,
238,F010 03B8,unlisted,
239,F010 03BC,unlisted,
240,F010 03C0,unlisted,-268435422
241,F010 03C4,unlisted,1409286266
242,F010 03C8,unlisted,
243,F010 03CC,unlisted,
244,F010 03D0,unlisted,
245,F010 03D4,unlisted,
246,F010 03D8,unlisted,
247,F010 03DC,unlisted,
248,F010 03E0,unlisted,
249,F010 03E4,unlisted,
250,F010 03E8,unlisted,
251,F010 03EC,unlisted,51447780
252,F010 03F0,unlisted,
253,F010 03F4,unlisted,
254,F010 03F8,unlisted,
255,F010 03FC,unlisted,
